source.sas	sas.json	sas
source.sass	sass.json	sass
source.scad	openscad.json	scad
source.scala	scala.json	scala
source.scheme	scheme.json	scm,ss,sch,rkt
source.sdbl	sdbl.json	sdbl,query
source.shaderlab	shaderlab.json	
source.shell	shellscript.json	
source.smalltalk	smalltalk.json	st
source.solidity	solidity.json	sol
source.sparql	sparql.json	rq,sparql,sq
source.splunk_search	splunk.json	splunk,spl
source.sql	sql.json	
source.ssh-config	ssh-config.json	ssh_config,ssh/config,sshd_config
source.stata	stata.json	do,ado,mata
source.stylus	stylus.json	styl,stylus
source.svelte	svelte.json	svelte
source.swift	swift.json	swift
source.systemd	systemd.json	
source.systemverilog	system-verilog.json	v,vh,sv,svh
source.talon	talonscript.json	
source.tasl	tasl.json	tasl
source.tcl	tcl.json	tcl
source.templ	templ.json	
source.toml	toml.json	toml
source.ts	typescript.json	
source.ts.ng	angular-ts.json	
source.ts.tags	ts-tags.json	
source.tsp	typespec.json	tsp
source.tsx	tsx.json	
source.turtle	turtle.json	turtle,ttl,acl
source.typst	typst.json	
source.v	v.json	v,vh,vsh
source.vala	vala.json	vala,vapi,gs
source.verilog	verilog.json	v,vh
source.vhdl	vhdl.json	vhd,vhdl,vho,vht
source.viml	viml.json	
source.vue	vue.json	
source.vue-vine	vue-vine.json	
source.vyper	vyper.json	
source.wat	wasm.json	
source.wenyan	wenyan.json	
source.wgsl	wgsl.json	
source.wikitext	wikitext.json	
source.wit	wit.json	
source.wolfram	wolfram.json	wl,m,wls,wlt,mt
source.yaml	yaml.json	yaml,yml,rviz,reek,clang-format,yaml-tmlanguage,syntax,sublime-syntax
source.zenscript	zenscript.json	zs
source.zig	zig.json	zig,zon
template.blocks.ng	angular-template-blocks.json	
template.let.ng	angular-let-declaration.json	
template.ng	angular-template.json	
text.asciidoc	asciidoc.json	ad,asc,adoc,asciidoc,txt
text.aspnetcorerazor	razor.json	razor,cshtml
text.beancount	beancount.json	beancount
text.bibtex	bibtex.json	
text.codeowners	codeowners.json	
text.csv	csv.json	csv
text.gherkin.feature	gherkin.json	feature
text.git-commit	git-commit.json	
text.git-rebase	git-rebase.json	
text.haml	haml.json	haml
text.html.basic	html.json	
text.html.derivative	html-derivative.json	
text.html.derivative.ng	angular-html.json	
